Absolute Difference;Difference;Movie Title;MSE without Categories;MSE with Categories;Categories;;;;;;;
0.3037;-0.3037;Waterloo Bridge (1940);0.4909;0.7946;Drama;Romance;War;;;;;
0.3036;0.3036;Stunt Man, The (1980);1.2396;0.936;Action;Adventure;Comedy;Drama;Romance;Thriller;;
0.3036;-0.3036;Painted Veil, The (2006);0.783;1.0866;Drama;Romance;;;;;;
0.3035;-0.3035;Yakuza, The (1975);0.2935;0.597;Drama;;;;;;;
0.3031;0.3031;Blame it on Fidel! (La Faute a Fidel) (2006);0.6709;0.3678;Drama;;;;;;;
0.303;-0.303;Boys in Company C, The (1978);0.635;0.938;Drama;War;;;;;;
0.3027;-0.3027;Mutant Chronicles, The (2008);1.2004;1.5031;Action;Sci-Fi;;;;;;
0.3027;0.3027;Dandelion (2004);1.4362;1.1335;Drama;;;;;;;
0.3024;0.3024;Night Listener, The (2006);2.18;1.8776;Fantasy;Mystery;Thriller;;;;;
0.3023;-0.3023;Twin Sitters (1994);2.9204;3.2227;Thriller;;;;;;;
0.302;-0.302;3 Strikes (2000);4.005;4.307;Comedy;;;;;;;
0.302;0.302;Premature Burial, The (1962);0.4461;0.1441;Horror;;;;;;;
0.302;0.302;Whipped (2000);1.5814;1.2794;Comedy;;;;;;;
0.3018;-0.3018;Assassination (1987);3.1489;3.4507;Action;;;;;;;
0.3017;0.3017;WALLE (2008);1.9776;1.6759;Adventure;Animation;Children;Comedy;Romance;Sci-Fi;;
0.3017;0.3017;My Voyage to Italy (Il mio viaggio in Italia) (1999);1.2911;0.9894;Documentary;;;;;;;
0.3017;0.3017;Three Times (Zui Hao De Shi Guang) (2005);1.2045;0.9028;Drama;Romance;;;;;;
0.3016;0.3016;If Lucy Fell (1996);1.7011;1.3995;Comedy;Romance;;;;;;
0.3014;-0.3014;Double Whammy (2001);1.4462;1.7476;Action;Comedy;Drama;;;;;
0.3014;-0.3014;Carnages (a.k.a. Carnage) (2002);0.0642;0.3656;Drama;;;;;;;
0.3014;-0.3014;Devil Wears Prada, The (2006);0.7917;1.0931;Comedy;Drama;;;;;;
0.3013;0.3013;Blue Collar Comedy Tour: The Movie (2003);2.5592;2.2579;Comedy;Documentary;;;;;;
0.3013;-0.3013;Johnny Guitar (1954);1.1035;1.4048;Western;;;;;;;
0.3013;-0.3013;Lady in Red, The (1979);0.3858;0.6871;Action;;;;;;;
0.3011;0.3011;American Nightmare, The (2000);1.5855;1.2844;Documentary;;;;;;;
0.3009;-0.3009;Beach Blanket Bingo (1965);1.3694;1.6703;Comedy;Musical;;;;;;
0.3006;-0.3006;It (1927);0.9308;1.2314;Comedy;Romance;;;;;;
0.3006;-0.3006;Undercover Blues (1993);0.5903;0.8909;Comedy;Crime;;;;;;
0.3004;0.3004;Merry Christmas (Joyeux Nol) (2005);1.2968;0.9964;Drama;War;;;;;;
0.3004;0.3004;Bells Are Ringing (1960);0.6843;0.3839;Comedy;Musical;Romance;;;;;
0.3003;0.3003;Howling IV: The Original Nightmare (1988);1.5394;1.2391;Horror;;;;;;;
0.3002;-0.3002;Sheena (1984);1.4267;1.7269;Action;Adventure;Fantasy;;;;;
0.3001;0.3001;Doogal (2006);5.9861;5.686;Animation;Children;;;;;;
0.3001;0.3001;Aviator's Wife, The (Femme de l'aviateur, La) (1981);0.6368;0.3367;Drama;;;;;;;
0.2995;-0.2995;Wisdom (1986);0.7758;1.0753;Crime;Drama;;;;;;
0.2994;-0.2994;Scarlet Letter, The (1926);0.8727;1.1721;Drama;;;;;;;
0.2993;-0.2993;Born Yesterday (1993);1.5164;1.8157;Comedy;Romance;;;;;;
0.2992;0.2992;Unsinkable Molly Brown, The (1964);1.9424;1.6432;Musical;;;;;;;
0.2992;-0.2992;Ginger Snaps Back: The Beginning (2004);1.3622;1.6614;Fantasy;Horror;;;;;;
0.2988;-0.2988;That Night in Varennes (La Nuit de Varennes) (1982);0.3766;0.6754;Drama;;;;;;;
0.2986;0.2986;Thrashin' (1986);2.2237;1.9251;Action;Drama;;;;;;
0.2985;-0.2985;Fountain, The (2006);1.3841;1.6826;Drama;Fantasy;Romance;;;;;
0.2985;-0.2985;Save the Tiger (1973);1.2415;1.54;Drama;;;;;;;
0.2983;-0.2983;Maelstrm (2000);1.3109;1.6092;Drama;Romance;;;;;;
0.2982;0.2982;10 Rillington Place (1971);1.405;1.1068;Crime;Drama;Thriller;;;;;
0.2981;0.2981;Discovery of Heaven, The (2001);1.5439;1.2458;Drama;;;;;;;
0.2981;0.2981;Shooter, The (1997);0.6008;0.3027;Western;;;;;;;
0.298;0.298;You're a Big Boy Now (1966);0.681;0.383;Comedy;Drama;;;;;;
0.2979;0.2979;Fat City (1972);1.1971;0.8992;Drama;;;;;;;
0.2977;-0.2977;Company Business (1991);0.6672;0.9649;Action;Comedy;;;;;;
0.2976;0.2976;Cruise, The (1998);1.1067;0.8091;Documentary;;;;;;;
0.2975;0.2975;Taxi 3 (2003);1.476;1.1785;Action;Comedy;;;;;;
0.2974;0.2974;Butch and Sundance: The Early Days (1979);1.3689;1.0715;Western;;;;;;;
0.2974;-0.2974;Zandalee (1991);1.406;1.7034;Drama;Thriller;;;;;;
0.2974;-0.2974;Ira and Abby (2006);0.079;0.3764;Comedy;;;;;;;
0.2971;0.2971;National Lampoon's Senior Trip (1995);1.6467;1.3496;Comedy;;;;;;;
0.2971;0.2971;Valerie and Her Week of Wonders (Valerie a tden divu) (1970);1.0371;0.74;Fantasy;Horror;;;;;;
0.2967;0.2967;Charlie Wilson's War (2007);1.0047;0.708;Comedy;Drama;War;;;;;
0.2964;0.2964;Time and Tide (Seunlau Ngaklau) (2000);1.6101;1.3137;Action;Crime;Thriller;;;;;
0.2962;0.2962;Toxic Avenger Part III: The Last Temptation of Toxie, The (1989);1.7598;1.4636;Comedy;Horror;;;;;;
0.2962;-0.2962;Dear God (1996);0.515;0.8112;Comedy;;;;;;;
0.2961;-0.2961;Gidget (1959);0.408;0.7041;Comedy;;;;;;;
0.2957;-0.2957;Last Mimzy, The (2007);0.6677;0.9634;Adventure;Children;Drama;Fantasy;Sci-Fi;;;
0.2956;0.2956;In Love and War (1996);1.4369;1.1413;Romance;War;;;;;;
0.2956;0.2956;Henry: Portrait of a Serial Killer, Part 2 (1998);0.6144;0.3188;Crime;Horror;;;;;;
0.2953;0.2953;Robinson Crusoe (a.k.a. Adventures of Robinson Crusoe, The) (1954);2.0689;1.7736;Adventure;Drama;;;;;;
0.2952;-0.2952;Paradise, Hawaiian Style (1966);2.3204;2.6156;Comedy;Musical;;;;;;
0.2947;-0.2947;Big Bully (1996);2.1688;2.4635;Comedy;Drama;;;;;;
0.2945;-0.2945;DOA: Dead or Alive (2006);1.9578;2.2523;Action;Adventure;;;;;;
0.2945;0.2945;Nights in Rodanthe (2008);2.0077;1.7132;Drama;Romance;;;;;;
0.2944;0.2944;Go West (1925);0.6992;0.4048;Comedy;Western;;;;;;
0.2944;-0.2944;So Dear to My Heart (1949);3.5859;3.8803;Children;Drama;;;;;;
0.2944;-0.2944;Under The Volcano (1984);0.7485;1.0429;Drama;;;;;;;
0.2941;0.2941;Moonlight and Valentino (1995);1.7355;1.4414;Drama;Romance;;;;;;
0.2941;0.2941;Above the Rim (1994);0.9392;0.6451;Drama;;;;;;;
0.2941;0.2941;Honkytonk Man (1982);0.9271;0.633;Comedy;Drama;;;;;;
0.2941;-0.2941;Attila (Attila Flagello di Dio) (1982);2.2947;2.5888;Action;;;;;;;
0.2935;-0.2935;Pan's Labyrinth (El Laberinto del fauno) (2006);1.0129;1.3064;Drama;Fantasy;Thriller;;;;;
0.2935;-0.2935;Streamers (1983);0.0251;0.3186;Drama;War;;;;;;
0.2934;0.2934;Amityville Curse, The (1990);1.9043;1.6109;Horror;;;;;;;
0.2933;-0.2933;Chopping Mall (a.k.a. Killbots) (1986);1.3241;1.6174;Action;Horror;Sci-Fi;;;;;
0.2932;-0.2932;River, The (1984);1.0652;1.3584;Drama;;;;;;;
0.2932;0.2932;Money Talks (1997);1.2638;0.9706;Action;Comedy;;;;;;
0.2931;-0.2931;Clifford (1994);1.4651;1.7582;Comedy;;;;;;;
0.2931;-0.2931;Fido (2007);0.6729;0.966;Comedy;Horror;Thriller;;;;;
0.293;-0.293;Definitely, Maybe (2008);0.499;0.792;Comedy;Drama;Romance;;;;;
0.2925;-0.2925;Wedding Gift, The (1994);1.2644;1.5569;Drama;Romance;;;;;;
0.2924;0.2924;I Think I Do (1997);0.5362;0.2438;Comedy;;;;;;;
0.2924;-0.2924;Very Natural Thing, A (1974);0.1053;0.3977;Drama;;;;;;;
0.2923;0.2923;Hole, The (Dong) (1998);0.611;0.3187;Drama;Musical;;;;;;
0.2922;-0.2922;Secret Things (Choses secrtes) (2002);1.1097;1.4019;Drama;Fantasy;;;;;;
0.2921;0.2921;Simon Magus (1999);0.5963;0.3042;Drama;Fantasy;Mystery;Romance;;;;
0.2919;0.2919;Hangmen Also Die (1943);1.2855;0.9936;Drama;War;;;;;;
0.2917;0.2917;Ziggy Stardust and the Spiders from Mars (1973);2.4813;2.1896;Documentary;Musical;;;;;;
0.2916;-0.2916;Heartbeat Detector (La Question humaine) (2007);1.2136;1.5052;Drama;Thriller;;;;;;
0.2914;-0.2914;Marie Antoinette (2006);1.095;1.3864;Drama;;;;;;;
0.2914;0.2914;Parents (1989);1.4298;1.1384;Horror;;;;;;;
0.2912;-0.2912;Blue Max, The (1966);0.59;0.8812;Adventure;Drama;War;;;;;
0.2912;0.2912;Boxcar Bertha (1972);0.7323;0.4411;Drama;;;;;;;
0.2908;0.2908;Freedom Writers (2007);1.1931;0.9023;Drama;;;;;;;
0.2906;0.2906;Because I Said So (2007);3.0511;2.7605;Comedy;Drama;Romance;;;;;
0.2905;-0.2905;Track 29 (1988);0.1287;0.4192;Drama;Mystery;;;;;;
0.2904;-0.2904;Anarchist Cookbook, The (2002);1.8292;2.1196;Comedy;Romance;;;;;;
0.2903;0.2903;Mr. Brooks (2007);0.9813;0.691;Crime;Drama;Thriller;;;;;
0.2903;0.2903;Death Race (2008);1.5908;1.3005;Action;Adventure;Sci-Fi;Thriller;;;;
0.2902;-0.2902;Lone Wolf and Cub: Baby Cart in Peril (Kozure kami: Oya no kokoro ko no kokoro) (1972);0.1823;0.4725;Action;;;;;;;
0.2898;-0.2898;Flash of Genius (2008);0.7048;0.9946;Drama;;;;;;;
0.2895;0.2895;Leopard Son, The (1996);0.7037;0.4142;Documentary;;;;;;;
0.2894;0.2894;Trois (2000);4.4363;4.1469;Thriller;;;;;;;
0.2894;-0.2894;High School Musical 2 (2007);0.621;0.9104;Comedy;Drama;Musical;Romance;;;;
0.2893;0.2893;Joe Strummer: The Future Is Unwritten (2007);1.8784;1.5891;Documentary;;;;;;;
0.2893;-0.2893;Bucket List, The (2007);0.8618;1.1511;Comedy;Drama;;;;;;
0.2892;0.2892;Wanted (2008);1.2753;0.9861;Action;Thriller;;;;;;
0.2889;0.2889;'night Mother (1986);1.9181;1.6292;Drama;;;;;;;
0.2889;-0.2889;Becoming Jane (2007);1.1975;1.4864;Drama;Romance;;;;;;
0.2888;-0.2888;Hot Rod (2007);1.4126;1.7014;Action;Comedy;Romance;;;;;
0.2887;0.2887;Star Maker, The (L'Uomo delle stelle) (1995);1.5311;1.2424;Drama;;;;;;;
0.2881;-0.2881;Schultze Gets the Blues (2003);0.9434;1.2315;Comedy;Drama;;;;;;
0.2877;-0.2877;Flying Saucer, The (1950);4.1437;4.4314;Sci-Fi;;;;;;;
0.2877;0.2877;Warm Water Under a Red Bridge (Akai hashi no shita no nurui mizu) (2001);0.8046;0.5169;Comedy;Drama;;;;;;
0.2876;-0.2876;Jennifer 8 (1992);0.8977;1.1853;Mystery;Thriller;;;;;;
0.2872;-0.2872;Stromboli (1950);0.7609;1.0481;Drama;;;;;;;
0.2871;0.2871;Modulations (1998);2.8626;2.5755;Documentary;;;;;;;
0.2871;-0.2871;Thunderheart (1992);0.433;0.7201;Crime;Mystery;Thriller;;;;;
0.2869;0.2869;Across the Universe (2007);1.5589;1.272;Drama;Musical;Romance;War;;;;
0.2865;0.2865;Lady in the Water (2006);1.6758;1.3893;Drama;Fantasy;Mystery;;;;;
0.2864;-0.2864;You Got Served (2004);2.3689;2.6553;Drama;Musical;;;;;;
0.2863;-0.2863;Medea (1970);0.6224;0.9087;Drama;;;;;;;
0.2862;-0.2862;Stay Tuned (1992);0.7994;1.0856;Comedy;;;;;;;
0.286;0.286;Second Best (1994);0.8597;0.5737;Drama;;;;;;;
0.286;0.286;Mafioso (1962);0.3184;0.0324;Comedy;Crime;Drama;;;;;
0.286;-0.286;Nomi Song, The (2004);1.0894;1.3754;Documentary;Musical;;;;;;
0.2859;0.2859;Cruel Romance, A (Zhestokij Romans) (1984);2.0364;1.7505;Drama;Romance;;;;;;
0.2859;0.2859;Monsieur Hire (1989);1.7375;1.4516;Crime;Romance;Thriller;;;;;
0.2859;-0.2859;Left Luggage (1998);0.3757;0.6616;Drama;;;;;;;
0.2858;-0.2858;Mystery Date (1991);0.1831;0.4689;Comedy;;;;;;;
0.2857;-0.2857;Tideland (2005);2.3082;2.5939;Drama;Fantasy;Thriller;;;;;
0.2857;0.2857;...All the Marbles (a.k.a. The California Dolls) (1981);2.7636;2.4779;Action;Comedy;Drama;Romance;;;;
0.2855;-0.2855;Couch Trip, The (1988);2.2687;2.5542;Comedy;;;;;;;
0.2854;-0.2854;Alice's Restaurant (1969);0.7333;1.0187;Comedy;Drama;;;;;;
0.2851;-0.2851;Dorm Daze (2003);2.4679;2.753;Comedy;;;;;;;
0.2849;-0.2849;It Conquered the World (1956);0.8203;1.1052;Sci-Fi;;;;;;;
0.2848;-0.2848;Step Up 2 the Streets (2008);2.4705;2.7553;Drama;Musical;Romance;;;;;
0.2848;0.2848;Black Angel (1946);1.1534;0.8686;Drama;Film-Noir;Mystery;;;;;
0.2847;0.2847;American Ninja 3: Blood Hunt (1989);2.1439;1.8592;Action;Adventure;;;;;;
0.2844;-0.2844;Dr. Jekyll and Ms. Hyde (1995);2.1641;2.4485;Comedy;Horror;;;;;;
0.2844;0.2844;Music Box (1989);0.869;0.5846;Drama;;;;;;;
0.2843;0.2843;Wings of the Dove, The (1997);0.993;0.7087;Drama;Romance;Thriller;;;;;
0.2839;0.2839;In My Skin (Dans ma Peau) (2002);1.3771;1.0932;Drama;;;;;;;
0.2837;0.2837;Last Kiss, The (2006);1.3338;1.0501;Comedy;Drama;;;;;;
0.2835;0.2835;South Central (1992);0.2946;0.0111;Action;Crime;Drama;;;;;
0.2833;0.2833;Van, The (1996);1.1033;0.82;Comedy;Drama;;;;;;
0.2832;0.2832;Appointment with Death (1988);0.8343;0.5511;Crime;Mystery;;;;;;
0.2832;-0.2832;Broadway Damage (1997);0.0377;0.3209;Comedy;;;;;;;
0.2831;0.2831;Slugger's Wife, The (1985);3.2704;2.9873;Comedy;Romance;;;;;;
0.2831;-0.2831;Asylum (1972);0.4857;0.7688;Horror;;;;;;;
0.2828;-0.2828;Lassie Come Home (1943);1.3732;1.656;Adventure;Children;Drama;;;;;
0.2826;-0.2826;Dead Silence (2007);1.4348;1.7174;Horror;Mystery;Thriller;;;;;
0.2825;-0.2825;Brigham City (2001);0.0821;0.3646;Crime;Drama;Mystery;;;;;
0.2825;-0.2825;Naked Prey, The (1966);0.661;0.9435;Adventure;;;;;;;
0.2824;0.2824;Matchmaker, The (1958);1.3705;1.0881;Comedy;Romance;;;;;;
0.2823;0.2823;Bobby (2006);1.2108;0.9285;Drama;;;;;;;
0.2823;-0.2823;How I Got Into College (1989);0.5113;0.7936;Comedy;Romance;;;;;;
0.2822;-0.2822;Bright Future (Akarui mirai) (2003);0.8974;1.1796;Drama;;;;;;;
0.282;-0.282;Perfect Candidate, A (1996);0.6614;0.9434;Documentary;;;;;;;
0.282;-0.282;Strange Cargo (1940);0.8873;1.1693;Drama;;;;;;;
0.2819;-0.2819;First Daughter (2004);1.2744;1.5563;Comedy;Romance;;;;;;
0.2818;0.2818;Naked City, The (1948);1.6061;1.3243;Crime;Drama;Film-Noir;Mystery;;;;
0.2818;0.2818;Calamari Union (1985);0.5648;0.283;Comedy;;;;;;;
0.2817;0.2817;Novo (2002);1.6047;1.323;Drama;;;;;;;
0.2817;0.2817;Marie From the Bay of Angels (Marie Baie Des Anges) (1997);2.8063;2.5246;Drama;;;;;;;
0.2815;-0.2815;Talladega Nights: The Ballad of Ricky Bobby (2006);1.2591;1.5406;Action;Comedy;;;;;;
0.2814;0.2814;Simple Wish, A (1997);1.1452;0.8638;Children;Fantasy;;;;;;
0.2811;-0.2811;Scaramouche (1952);0.6528;0.9339;Adventure;Romance;;;;;;
0.2806;-0.2806;High School Confidential! (1958);0.9917;1.2723;Crime;Drama;;;;;;
0.2806;0.2806;Piranha II: The Spawning (1981);2.8463;2.5657;Horror;Sci-Fi;;;;;;
0.2803;0.2803;Ballad of a Soldier (Ballada o soldate) (1959);2.049;1.7687;Drama;Romance;War;;;;;
0.2801;0.2801;F for Fake (Vrits et mensonges) (1974);1.3152;1.0351;Documentary;Mystery;;;;;;
0.28;-0.28;Osterman Weekend, The (1983);0.4862;0.7662;Action;Thriller;;;;;;
0.2799;-0.2799;Memphis Belle: A Story of a Flying Fortress, The (1944);1.1739;1.4538;Documentary;War;;;;;;
0.2799;-0.2799;Raining Stones (1993);0.9764;1.2563;Drama;;;;;;;
0.2799;-0.2799;September (1987);0.5068;0.7867;Drama;;;;;;;
0.2798;0.2798;Coming Home (1978);1.0116;0.7318;Drama;War;;;;;;
0.2795;0.2795;Funny Bones (1995);1.6217;1.3422;Comedy;Drama;;;;;;
0.2793;-0.2793;Back to Bataan (1945);2.0455;2.3248;Drama;War;;;;;;
0.2793;0.2793;So Close (Chik Yeung Tin Sai) (2002);0.7682;0.4889;Action;Comedy;Romance;Thriller;;;;
0.2793;-0.2793;Warning For the Joensson Gang (Varning fr Jnssonligan) (1981);0.58;0.8593;Comedy;Crime;;;;;;
0.279;-0.279;Buck Privates (1941);0.4897;0.7687;Comedy;Musical;;;;;;
0.2788;-0.2788;Munchies (1987);2.8245;3.1033;Comedy;Horror;;;;;;
0.2787;-0.2787;World of Apu, The (Apur Sansar) (1959);2.0483;2.327;Drama;;;;;;;
0.2785;0.2785;Canterville Ghost, The (1944);1.0668;0.7883;Comedy;Fantasy;;;;;;
0.2785;-0.2785;Splendor (1999);0.4726;0.7511;Comedy;;;;;;;
0.2785;0.2785;Against All Odds (1984);1.1118;0.8333;Romance;;;;;;;
0.2782;-0.2782;Crimes of the Heart (1986);1.0676;1.3458;Comedy;Drama;;;;;;
0.278;-0.278;Brothers, The (2001);1.0791;1.3571;Comedy;Drama;;;;;;
0.278;-0.278;Times of Harvey Milk, The (1984);1.1398;1.4178;Documentary;;;;;;;
0.2778;0.2778;Grind (2003);2.4277;2.1499;Action;Comedy;;;;;;
0.2777;0.2777;Good Guys Wear Black (1978);3.8599;3.5822;Action;;;;;;;
0.2777;-0.2777;Paleface, The (1948);1.279;1.5567;Comedy;Western;;;;;;
0.2775;0.2775;Wiz, The (1978);1.6511;1.3736;Adventure;Children;Comedy;Fantasy;Musical;;;
0.277;-0.277;3 Godfathers (1948);0.6255;0.9025;Drama;Western;;;;;;
0.2768;0.2768;Road to Rio (1947);0.7634;0.4866;Adventure;Comedy;Musical;Romance;;;;
0.2764;0.2764;Eddie (1996);2.4348;2.1584;Comedy;;;;;;;
0.276;0.276;Pokmon Heroes (2003);2.1895;1.9135;Animation;Children;;;;;;
0.2758;-0.2758;Boys Life 2 (1997);0.1426;0.4184;Drama;;;;;;;
0.2758;0.2758;Callas Forever (2002);2.3699;2.0941;Drama;;;;;;;
0.2757;0.2757;Religulous (2008);2.3703;2.0946;Documentary;;;;;;;
0.2756;0.2756;Greatest Story Ever Told, The (1965);1.9736;1.698;Drama;;;;;;;
0.2756;-0.2756;Temp, The (1993);1.0019;1.2775;Drama;Thriller;;;;;;
0.2756;-0.2756;Who's the Man? (1993);1.2983;1.5739;Comedy;;;;;;;
0.2756;-0.2756;From the Journals of Jean Seberg (1995);0.1705;0.4461;Documentary;;;;;;;
0.2755;0.2755;It's Alive (1974);2.5677;2.2922;Horror;;;;;;;
0.2755;0.2755;Good Year, A (2006);0.9489;0.6734;Comedy;Drama;Romance;;;;;
0.2754;-0.2754;He Said, She Said (1991);1.2078;1.4832;Comedy;Drama;Romance;;;;;
0.2751;0.2751;Paris Was a Woman (1995);1.0937;0.8186;Documentary;;;;;;;
0.275;0.275;Man on the Train (L'Homme du train) (2002);1.0605;0.7855;Comedy;Drama;;;;;;
0.2747;-0.2747;Frank and Ollie (1995);0.7077;0.9824;Documentary;;;;;;;
0.2745;0.2745;Prelude to a Kiss (1992);1.2897;1.0152;Comedy;Drama;Romance;;;;;
0.2745;0.2745;Jane Eyre (1970);1.5309;1.2564;Drama;;;;;;;
0.2745;-0.2745;Harlem Nights (1989);1.3035;1.578;Comedy;Crime;Romance;;;;;
0.2739;-0.2739;Flipper (1963);0.9473;1.2212;Adventure;Children;Drama;;;;;
0.2739;-0.2739;Touch (1997);0.6529;0.9268;Drama;Fantasy;Romance;;;;;
0.2736;-0.2736;I'll Be Home For Christmas (1998);1.5302;1.8038;Comedy;Romance;;;;;;
0.2736;0.2736;Red Corner (1997);0.8419;0.5683;Crime;Thriller;;;;;;
0.2734;-0.2734;Foot Fist Way, The (2006);0.603;0.8764;Comedy;;;;;;;
0.2733;0.2733;Charley Varrick (1973);0.9655;0.6922;Crime;Drama;Thriller;;;;;
0.2732;-0.2732;Northfork (2003);1.2869;1.5601;Drama;Fantasy;;;;;;
0.2731;0.2731;Paradise Alley (1978);1.0196;0.7465;Drama;;;;;;;
0.2731;0.2731;Happily Ever After (1993);3.5713;3.2982;Animation;Children;Comedy;Musical;;;;
0.2729;-0.2729;Butterfly on a Wheel (2007);0.9462;1.2191;Crime;Drama;Thriller;;;;;
0.2728;-0.2728;Desert Fox, The (1951);0.894;1.1668;Drama;War;;;;;;
0.2727;-0.2727;Stormy Monday (1988);0.1865;0.4592;Crime;Drama;;;;;;
0.2726;0.2726;Days of Being Wild (A Fei jing juen) (1991);1.2366;0.964;Drama;Romance;;;;;;
0.2725;0.2725;Two of a Kind (1983);2.5704;2.2979;Comedy;Romance;;;;;;
0.2725;0.2725;At Play in the Fields of the Lord (1991);1.6958;1.4233;Drama;;;;;;;
0.2724;-0.2724;Twelve Chairs, The (1970);1.5653;1.8377;Comedy;;;;;;;
0.2723;-0.2723;Blackrock (1997);1.4021;1.6744;Drama;Thriller;;;;;;
0.2723;0.2723;Vicky Cristina Barcelona (2008);0.7951;0.5228;Drama;;;;;;;
0.2723;-0.2723;Kim (1950);0.5338;0.8061;Children;Drama;;;;;;
0.272;0.272;Looking for Comedy in the Muslim World (2005);2.1278;1.8558;Comedy;;;;;;;
0.272;0.272;Babyfever (1994);0.273;0.001;Comedy;Drama;;;;;;
0.272;0.272;All Over the Guy (2001);1.5602;1.2882;Comedy;;;;;;;
0.2717;-0.2717;Vampire Lovers, The (1970);1.6614;1.9331;Horror;;;;;;;
0.2715;0.2715;Year of the Dragon (1985);1.1881;0.9166;Action;Crime;Drama;;;;;
0.2715;0.2715;Thing Called Love, The (1993);0.98;0.7085;Comedy;Drama;Romance;;;;;
0.2713;-0.2713;In the Bleak Midwinter (1995);1.1226;1.3939;Comedy;Drama;;;;;;
0.271;-0.271;Late August, Early September (Fin aot, dbut septembre) (1998);0.1509;0.4219;Drama;;;;;;;
0.271;-0.271;Chinese Ghost Story, A (Sinnui yauwan) (1987);0.9047;1.1757;Action;Fantasy;Horror;Romance;;;;
0.2709;-0.2709;Hollywood Knights, The (1980);2.7564;3.0273;Comedy;;;;;;;
0.2706;-0.2706;Chaos (Kaosu) (1999);1.7993;2.0699;Crime;Mystery;Thriller;;;;;
0.2706;-0.2706;Good Mother, The (1988);0.4288;0.6994;Drama;;;;;;;
0.2706;-0.2706;Man of the House (1995);1.5315;1.8021;Comedy;;;;;;;
0.2702;0.2702;All About Lily Chou-Chou (Riri Shushu no subete) (2001);1.1697;0.8995;Crime;Drama;Thriller;;;;;
0.2701;0.2701;Jekyll & Hyde... Together Again (1982);2.4015;2.1314;Comedy;Sci-Fi;;;;;;
0.27;-0.27;Harry Potter and the Order of the Phoenix (2007);0.8011;1.0711;Adventure;Drama;Fantasy;IMAX;;;;
0.2697;0.2697;Monkey Trouble (1994);2.0304;1.7607;Children;Comedy;;;;;;
0.2696;-0.2696;Shopping (1994);0.1166;0.3862;Action;Thriller;;;;;;
0.2694;0.2694;Alone in the Dark (2005);2.0934;1.824;Action;Horror;Sci-Fi;Thriller;;;;
0.2693;-0.2693;Death in the Garden (La Mort en ce jardin) (1956);1.1841;1.4534;Drama;;;;;;;
0.2691;-0.2691;Double Dragon (1994);2.432;2.7011;Action;Adventure;Sci-Fi;;;;;
0.2688;0.2688;Honey (2003);1.6981;1.4293;Drama;Romance;;;;;;
0.2686;0.2686;Somersault (2004);1.0134;0.7448;Drama;;;;;;;
0.2684;0.2684;Human Resources (Ressources Humaines) (1999);1.4475;1.1791;Drama;;;;;;;
0.2684;-0.2684;Lady Chatterley's Lover (1981);1.9331;2.2015;Drama;Romance;;;;;;
0.2681;0.2681;Witchfinder General (a.k.a. The Conquerer Worm) (1968);1.3087;1.0406;Horror;;;;;;;
0.2681;0.2681;Sukiyaki Western Django (2008);0.6647;0.3966;Action;Western;;;;;;
0.268;0.268;Deliver Us from Evil (2006);1.3248;1.0568;Documentary;;;;;;;
0.2678;-0.2678;Hotel (2001);1.1541;1.4219;Comedy;Drama;Horror;;;;;
0.2678;0.2678;Taken (2008);1.1925;0.9247;Action;Crime;Drama;Thriller;;;;
0.2678;0.2678;Pola X (1999);1.6359;1.3681;Drama;Romance;;;;;;
0.2676;-0.2676;Vor (1997);0.78;1.0476;Drama;;;;;;;
0.2676;-0.2676;Hush (1998);1.5878;1.8554;Thriller;;;;;;;
0.2675;0.2675;Tarzan and the Lost City (1998);1.6936;1.4261;Action;Adventure;;;;;;
0.2675;-0.2675;Autumn Heart, The (1999);0.0306;0.2981;Drama;;;;;;;
0.2674;-0.2674;Return of the Musketeers, The (1989);1.23;1.4974;Adventure;Comedy;;;;;;
0.2673;-0.2673;Searching for Debra Winger (2002);0.7528;1.0201;Documentary;;;;;;;
0.2672;-0.2672;Slaughter Rule, The (2002);1.2081;1.4753;Drama;;;;;;;
0.2666;-0.2666;Running on Empty (1988);0.7694;1.036;Drama;;;;;;;
0.2666;-0.2666;Dancer, Texas Pop. 81 (1998);0.1771;0.4437;Comedy;Drama;;;;;;
0.2666;-0.2666;Ringer, The (2005);1.0642;1.3308;Comedy;;;;;;;
0.2665;-0.2665;Autumn Spring (Bab lto) (2001);0.2717;0.5382;Comedy;Drama;;;;;;
0.266;-0.266;Born Romantic (2000);2.2084;2.4744;Comedy;Drama;Romance;;;;;
0.2658;0.2658;Love Me Tender (1956);1.4722;1.2064;Musical;Western;;;;;;
0.2657;-0.2657;Winter Kills (1979);0.086;0.3517;Drama;;;;;;;
0.2656;-0.2656;Life Stinks (1991);1.0613;1.3269;Comedy;;;;;;;
0.2656;-0.2656;Best of Youth, The (La Meglio giovent) (2003);0.8761;1.1417;Drama;;;;;;;
0.2652;0.2652;When Will I Be Loved (2004);1.395;1.1298;Drama;;;;;;;
0.2652;0.2652;Blue Car (2002);1.3273;1.0621;Drama;;;;;;;
0.2651;-0.2651;Late Night Shopping (2001);0.9643;1.2294;Comedy;;;;;;;
0.2649;0.2649;Beowulf (2007);1.5796;1.3147;Action;Adventure;Animation;Drama;Fantasy;;;
0.2647;0.2647;Godard's Passion (Passion) (1982);1.4251;1.1604;Drama;;;;;;;
